index,left,top,right,bottom,section,line,content
0,50.25,76.5,73.25,94.5,question,0,W
1,73.703125,75.5,88.703125,94.5,question,0,h
2,88.734375,80.5,102.734375,94.5,question,0,a
3,102.765625,77.5,111.765625,94.5,question,0,t
4,111.265625,94.5,118.265625,94.5,question,0, 
5,118.234375,80.5,130.234375,94.5,question,0,s
6,130.609375,80.5,145.609375,100.5,question,0,p
7,145.703125,80.5,159.703125,94.5,question,0,e
8,159.703125,80.5,171.703125,94.5,question,0,c
9,172.15625,75.5,178.15625,94.5,question,0,i
10,178.1875,80.5,192.1875,94.5,question,0,a
11,192.640625,75.5,198.640625,94.5,question,0,l
12,198.140625,94.5,205.140625,94.5,question,0, 
13,205.171875,80.5,219.171875,94.5,question,0,a
14,219.546875,75.5,234.546875,94.5,question,0,b
15,235.0,75.5,241.0,94.5,question,0,i
16,241.453125,75.5,247.453125,94.5,question,0,l
17,247.90625,75.5,253.90625,94.5,question,0,i
18,253.9375,77.5,262.9375,94.5,question,0,t
19,262.6875,80.5,275.6875,100.5,question,0,y
20,275.1875,94.5,282.1875,94.5,question,0, 
21,282.5625,75.5,297.5625,94.5,question,0,d
22,297.6875,80.5,312.6875,94.5,question,0,o
23,312.78125,80.5,326.78125,94.5,question,0,e
24,326.75,80.5,338.75,94.5,question,0,s
25,338.25,94.5,345.25,94.5,question,0, 
26,345.15625,76.5,359.15625,94.5,question,0,E
27,359.53125,80.5,382.53125,94.5,question,0,m
28,382.984375,75.5,388.984375,94.5,question,0,i
29,389.4375,75.5,395.4375,94.5,question,0,l
30,395.1875,80.5,408.1875,100.5,question,0,y
31,407.6875,94.5,414.6875,94.5,question,0, 
32,415.0625,75.5,430.0625,94.5,question,0,d
33,430.515625,75.5,436.515625,94.5,question,0,i
34,436.484375,80.5,448.484375,94.5,question,0,s
35,448.484375,80.5,460.484375,94.5,question,0,c
36,460.609375,80.5,475.609375,94.5,question,0,o
37,474.8125,80.5,487.8125,94.5,question,0,v
38,487.90625,80.5,501.90625,94.5,question,0,e
39,502.234375,80.5,512.234375,94.5,question,0,r
40,511.734375,94.5,518.734375,94.5,question,0, 
41,518.703125,80.5,530.703125,94.5,question,0,s
42,531.15625,75.5,546.15625,94.5,question,0,h
43,546.25,80.5,560.25,94.5,question,0,e
44,559.75,94.5,566.75,94.5,question,0, 
45,567.203125,75.5,582.203125,94.5,question,0,h
46,582.234375,80.5,596.234375,94.5,question,0,a
47,596.203125,80.5,608.203125,94.5,question,0,s
48,608.046875,76.5,619.046875,94.5,question,0,?
49,99.71875,216.5,113.71875,234.5,option:0,0,S
50,114.171875,215.5,129.171875,234.5,option:0,0,h
51,129.265625,220.5,143.265625,234.5,option:0,0,e
52,142.765625,234.5,149.765625,234.5,option:0,0, 
53,149.765625,220.5,161.765625,234.5,option:0,0,c
54,161.796875,220.5,175.796875,234.5,option:0,0,a
55,176.25,220.5,191.25,234.5,option:0,0,n
56,190.75,234.5,197.75,234.5,option:0,0, 
57,198.078125,220.5,208.078125,234.5,option:0,0,r
58,207.671875,220.5,221.671875,234.5,option:0,0,e
59,221.703125,220.5,235.703125,234.5,option:0,0,a
60,236.078125,215.5,251.078125,234.5,option:0,0,d
61,250.578125,234.5,257.578125,234.5,option:0,0, 
62,257.953125,220.5,272.953125,240.5,option:0,0,p
63,273.046875,220.5,287.046875,234.5,option:0,0,e
64,287.171875,220.5,302.171875,234.5,option:0,0,o
65,302.546875,220.5,317.546875,240.5,option:0,0,p
66,318.0,215.5,324.0,234.5,option:0,0,l
67,324.09375,220.5,338.09375,234.5,option:0,0,e
68,337.46875,216.5,343.46875,234.5,option:0,0,'
69,342.6875,220.5,354.6875,234.5,option:0,0,s
70,354.1875,234.5,361.1875,234.5,option:0,0, 
71,361.5625,220.5,384.5625,234.5,option:0,0,m
72,385.015625,215.5,391.015625,234.5,option:0,0,i
73,391.46875,220.5,406.46875,234.5,option:0,0,n
74,406.84375,215.5,421.84375,234.5,option:0,0,d
75,421.8125,220.5,433.8125,234.5,option:0,0,s
76,433.515625,231.5,440.515625,234.5,option:0,0,.
77,99.71875,286.5,113.71875,304.5,option:1,0,S
78,114.171875,285.5,129.171875,304.5,option:1,0,h
79,129.265625,290.5,143.265625,304.5,option:1,0,e
80,142.765625,304.5,149.765625,304.5,option:1,0, 
81,149.765625,290.5,161.765625,304.5,option:1,0,c
82,161.796875,290.5,175.796875,304.5,option:1,0,a
83,176.25,290.5,191.25,304.5,option:1,0,n
84,190.75,304.5,197.75,304.5,option:1,0, 
85,198.125,290.5,213.125,310.5,option:1,0,p
86,213.453125,290.5,223.453125,304.5,option:1,0,r
87,223.046875,290.5,237.046875,304.5,option:1,0,e
88,237.421875,285.5,252.421875,304.5,option:1,0,d
89,252.875,285.5,258.875,304.5,option:1,0,i
90,258.875,290.5,270.875,304.5,option:1,0,c
91,270.90625,287.5,279.90625,304.5,option:1,0,t
92,279.40625,304.5,286.40625,304.5,option:1,0, 
93,286.4375,287.5,295.4375,304.5,option:1,0,t
