index,left,top,right,bottom,section,line,content
0,49.71875,76.5,63.71875,94.5,,0,S
1,63.8125,80.5,77.8125,94.5,,0,e
2,77.8125,80.5,89.8125,94.5,,0,c
3,89.9375,80.5,104.9375,94.5,,0,o
4,105.390625,80.5,120.390625,94.5,,0,n
5,120.765625,75.5,135.765625,94.5,,0,d
6,135.265625,94.5,142.265625,94.5,,0, 
7,142.390625,76.5,157.390625,94.5,,0,P
8,157.84375,75.5,163.84375,94.5,,0,l
9,163.875,80.5,177.875,94.5,,0,a
10,177.875,80.5,189.875,94.5,,0,c
11,189.96875,80.5,203.96875,94.5,,0,e
12,49.90625,216.5,63.90625,234.5,,2,E
13,64.28125,220.5,87.28125,234.5,,2,m
14,87.734375,215.5,93.734375,234.5,,2,i
15,94.1875,215.5,100.1875,234.5,,2,l
16,99.9375,220.5,112.9375,240.5,,2,y
17,112.4375,234.5,119.4375,234.5,,2, 
18,119.890625,215.5,134.890625,234.5,,2,h
19,134.921875,220.5,148.921875,234.5,,2,a
20,149.296875,215.5,164.296875,234.5,,2,d
21,163.796875,234.5,170.796875,234.5,,2, 
22,170.828125,220.5,184.828125,234.5,,2,a
23,185.28125,215.5,191.28125,234.5,,2,l
24,190.9375,220.5,210.9375,234.5,,2,w
25,210.96875,220.5,224.96875,234.5,,2,a
26,224.71875,220.5,237.71875,240.5,,2,y
27,237.6875,220.5,249.6875,234.5,,2,s
28,249.1875,234.5,256.1875,234.5,,2, 
29,256.5625,215.5,271.5625,234.5,,2,b
30,271.65625,220.5,285.65625,234.5,,2,e
31,285.75,220.5,299.75,234.5,,2,e
32,300.203125,220.5,315.203125,234.5,,2,n
33,314.703125,234.5,321.703125,234.5,,2, 
34,321.734375,217.5,330.734375,234.5,,2,t
35,331.1875,215.5,346.1875,234.5,,2,h
36,346.28125,220.5,360.28125,234.5,,2,e
37,359.78125,234.5,366.78125,234.5,,2, 
38,367.15625,215.5,382.15625,234.5,,2,b
39,382.484375,220.5,392.484375,234.5,,2,r
40,392.9375,215.5,398.9375,234.5,,2,i
41,399.3125,215.5,414.3125,234.5,,2,d
42,414.40625,220.5,428.40625,234.5,,2,e
43,428.375,220.5,440.375,234.5,,2,s
44,440.75,220.5,463.75,234.5,,2,m
45,463.78125,220.5,477.78125,234.5,,2,a
46,478.234375,215.5,484.234375,234.5,,2,i
47,484.609375,215.5,499.609375,234.5,,2,d
48,499.3125,231.5,506.3125,237.5,,2,","
49,505.8125,234.5,512.8125,234.5,,2, 
50,513.265625,220.5,528.265625,234.5,,2,n
51,528.359375,220.5,542.359375,234.5,,2,e
