index,left,top,right,bottom,section,line,content
0,43.21875,50,139.078125,120.0,,0,Second
1,139.078125,50,210.46875,120.0,,0,Place
2,43.40625,190.0,116.4140625,260.0,,2,Emily
3,116.4140625,190.0,167.5625,260.0,,2,had
4,167.5625,190.0,253.125,260.0,,2,always
5,253.125,190.0,318.46875,260.0,,2,been
6,318.46875,190.0,363.71875,260.0,,2,the
7,363.71875,190.0,509.7890625,260.0,,2,"bridesmaid,"
8,509.7890625,190.0,582.25,260.0,,2,never
9,582.25,190.0,627.5,260.0,,2,the
10,627.5,190.0,702.375,260.0,,2,bride.
11,702.375,190.0,732.546875,260.0,,2,In
12,732.546875,190.0,821.875,260.0,,2,"school,"
13,821.875,190.0,869.734375,260.0,,2,she
14,869.734375,190.0,922.078125,260.0,,2,was
15,922.078125,190.0,970.390625,260.0,,2,the
16,43.828125,260.0,173.4609375,330.0,,3,runner-up
17,173.4609375,260.0,201.6875,330.0,,3,in
18,201.6875,260.0,271.59375,330.0,,3,every
19,271.59375,260.0,363.46875,330.0,,3,science
20,363.46875,260.0,412.796875,330.0,,3,"fair,"
21,412.796875,260.0,457.84375,330.0,,3,the
22,457.84375,260.0,618.203125,330.0,,3,second-place
23,618.203125,260.0,706.5390625,330.0,,3,winner
24,706.5390625,260.0,734.765625,330.0,,3,in
25,734.765625,260.0,804.9140625,330.0,,3,every
26,804.9140625,260.0,865.265625,330.0,,3,local
27,865.265625,260.0,908.390625,330.0,,3,art
28,43.5,330.0,201.484375,400.0,,4,"competition,"
29,201.484375,330.0,252.84375,400.0,,4,and
30,252.84375,330.0,297.890625,400.0,,4,the
31,297.890625,330.0,366.59375,400.0,,4,silver
32,366.59375,330.0,473.9140625,400.0,,4,medalist
33,473.9140625,330.0,502.140625,400.0,,4,in
34,502.140625,330.0,572.2265625,400.0,,4,every
35,572.2265625,330.0,675.359375,400.0,,4,regional
36,675.359375,330.0,755.6875,400.0,,4,sports
37,755.6875,330.0,910.015625,400.0,,4,tournament.
38,910.015625,330.0,959.0,400.0,,4,Her
39,959.0,330.0,1051.71875,400.0,,4,friends
40,43.53125,400.0,97.40625,470.0,,5,and
41,97.40625,400.0,176.4921875,470.0,,5,family
42,176.4921875,400.0,227.8125,470.0,,5,had
43,227.8125,400.0,309.078125,470.0,,5,grown
44,309.078125,400.0,458.03125,470.0,,5,accustomed
45,458.03125,400.0,488.8984375,470.0,,5,to
46,488.8984375,400.0,535.234375,470.0,,5,her
47,535.234375,400.0,655.765625,470.0,,5,perpetual
48,655.765625,400.0,815.59375,470.0,,5,second-place
49,815.59375,400.0,919.953125,470.0,,5,"finishes,"
50,919.953125,400.0,971.28125,470.0,,5,and
51,971.28125,400.0,1022.5625,470.0,,5,she
52,43.953125,470.0,98.3359375,540.0,,6,had
53,98.3359375,470.0,194.453125,540.0,,6,learned
54,194.453125,470.0,225.3203125,540.0,,6,to
55,225.3203125,470.0,271.125,540.0,,6,live
