index,left,top,right,bottom,section,line,content
0,50.25,76.5,73.25,94.5,question,0,W
1,73.703125,75.5,88.703125,94.5,question,0,h
2,88.453125,80.5,101.453125,100.5,question,0,y
3,100.953125,94.5,107.953125,94.5,question,0, 
4,108.328125,75.5,123.328125,94.5,question,0,d
5,123.78125,75.5,129.78125,94.5,question,0,i
6,130.15625,75.5,145.15625,94.5,question,0,d
7,144.65625,94.5,151.65625,94.5,question,0, 
8,151.5625,76.5,165.5625,94.5,question,0,E
9,165.9375,80.5,188.9375,94.5,question,0,m
10,189.390625,75.5,195.390625,94.5,question,0,i
11,195.84375,75.5,201.84375,94.5,question,0,l
12,201.59375,80.5,214.59375,100.5,question,0,y
13,214.09375,94.5,221.09375,94.5,question,0, 
14,221.0625,80.5,233.0625,94.5,question,0,s
15,233.09375,77.5,242.09375,94.5,question,0,t
16,242.125,80.5,256.125,94.5,question,0,a
17,256.453125,80.5,266.453125,94.5,question,0,r
18,266.484375,77.5,275.484375,94.5,question,0,t
19,274.984375,94.5,281.984375,94.5,question,0, 
20,281.984375,80.5,293.984375,94.5,question,0,c
21,294.4375,75.5,309.4375,94.5,question,0,h
22,309.46875,80.5,323.46875,94.5,question,0,a
23,323.921875,80.5,338.921875,94.5,question,0,n
24,339.296875,80.5,354.296875,100.5,question,0,g
25,354.75,75.5,360.75,94.5,question,0,i
26,361.203125,80.5,376.203125,94.5,question,0,n
27,376.578125,80.5,391.578125,100.5,question,0,g
28,391.078125,94.5,398.078125,94.5,question,0, 
29,398.53125,75.5,413.53125,94.5,question,0,h
30,413.625,80.5,427.625,94.5,question,0,e
31,427.953125,80.5,437.953125,94.5,question,0,r
32,437.453125,94.5,444.453125,94.5,question,0, 
33,444.828125,75.5,459.828125,94.5,question,0,d
34,459.859375,80.5,473.859375,94.5,question,0,a
35,474.3125,75.5,480.3125,94.5,question,0,i
36,480.765625,75.5,486.765625,94.5,question,0,l
37,486.515625,80.5,499.515625,100.5,question,0,y
38,499.015625,94.5,506.015625,94.5,question,0, 
39,506.34375,80.5,516.34375,94.5,question,0,r
40,515.96875,80.5,530.96875,94.5,question,0,o
41,531.421875,80.5,546.421875,94.5,question,0,u
42,546.453125,77.5,555.453125,94.5,question,0,t
43,555.90625,75.5,561.90625,94.5,question,0,i
44,562.359375,80.5,577.359375,94.5,question,0,n
45,577.453125,80.5,591.453125,94.5,question,0,e
46,591.421875,80.5,603.421875,94.5,question,0,s
47,603.265625,76.5,614.265625,94.5,question,0,?
48,99.71875,216.5,113.71875,234.5,option:0,0,S
49,114.171875,215.5,129.171875,234.5,option:0,0,h
50,129.265625,220.5,143.265625,234.5,option:0,0,e
51,142.765625,234.5,149.765625,234.5,option:0,0, 
52,150.140625,215.5,165.140625,234.5,option:0,0,b
53,165.234375,220.5,179.234375,234.5,option:0,0,e
54,179.6875,215.5,185.6875,234.5,option:0,0,l
55,186.140625,215.5,192.140625,234.5,option:0,0,i
56,192.234375,220.5,206.234375,234.5,option:0,0,e
57,205.4375,220.5,218.4375,234.5,option:0,0,v
58,218.53125,220.5,232.53125,234.5,option:0,0,e
59,232.90625,215.5,247.90625,234.5,option:0,0,d
60,247.40625,234.5,254.40625,234.5,option:0,0, 
61,254.375,220.5,266.375,234.5,option:0,0,s
62,266.828125,215.5,281.828125,234.5,option:0,0,h
63,281.921875,220.5,295.921875,234.5,option:0,0,e
64,295.421875,234.5,302.421875,234.5,option:0,0, 
65,302.078125,220.5,322.078125,234.5,option:0,0,w
66,322.109375,220.5,336.109375,234.5,option:0,0,a
67,336.078125,220.5,348.078125,234.5,option:0,0,s
68,347.578125,234.5,354.578125,234.5,option:0,0, 
69,354.953125,215.5,369.953125,234.5,option:0,0,b
70,370.046875,220.5,384.046875,234.5,option:0,0,e
71,384.5,215.5,390.5,234.5,option:0,0,i
72,390.953125,220.5,405.953125,234.5,option:0,0,n
73,406.328125,220.5,421.328125,240.5,option:0,0,g
74,420.828125,234.5,427.828125,234.5,option:0,0, 
75,427.484375,220.5,447.484375,234.5,option:0,0,w
76,447.515625,220.5,461.515625,234.5,option:0,0,a
77,461.546875,217.5,470.546875,234.5,option:0,0,t
78,470.546875,220.5,482.546875,234.5,option:0,0,c
79,483.0,215.5,498.0,234.5,option:0,0,h
80,498.09375,220.5,512.09375,234.5,option:0,0,e
81,512.46875,215.5,527.46875,234.5,option:0,0,d
82,527.171875,231.5,534.171875,234.5,option:0,0,.
83,99.71875,286.5,113.71875,304.5,option:1,0,S
84,114.171875,285.5,129.171875,304.5,option:1,0,h
85,129.265625,290.5,143.265625,304.5,option:1,0,e
86,142.765625,304.5,149.765625,304.5,option:1,0, 
87,149.421875,290.5,169.421875,304.5,option:1,0,w
88,169.453125,290.5,183.453125,304.5,option:1,0,a
89,183.421875,290.5,195.421875,304.5,option:1,0,s
90,194.921875,304.5,201.921875,304.5,option:1,0, 
91,201.953125,287.5,210.953125,304.5,option:1,0,t
92,211.28125,290.5,221.28125,304.5,option:1,0,r
93,221.03125,290.5,234.03125,310.5,option:1,0,y
