index,left,top,right,bottom,section,line,content
0,43.75,50,104.890625,120.0,question,0,Why
1,104.890625,50,148.359375,120.0,question,0,did
2,148.359375,50,217.828125,120.0,question,0,Emily
3,217.828125,50,278.734375,120.0,question,0,start
4,278.734375,50,395.0546875,120.0,question,0,changing
5,395.0546875,50,441.390625,120.0,question,0,her
6,441.390625,50,502.9296875,120.0,question,0,daily
7,502.9296875,50,620.765625,120.0,question,0,routines?
8,93.21875,190.0,146.703125,260.0,option:0,0,She
9,146.703125,190.0,251.140625,260.0,option:0,0,believed
10,251.140625,190.0,299.0,260.0,option:0,0,she
11,299.0,190.0,351.515625,260.0,option:0,0,was
12,351.515625,190.0,424.40625,260.0,option:0,0,being
13,424.40625,190.0,540.671875,260.0,option:0,0,watched.
14,93.21875,260.0,146.34375,330.0,option:1,0,She
15,146.34375,260.0,198.6875,330.0,option:1,0,was
16,198.6875,260.0,274.578125,330.0,option:1,0,trying
17,274.578125,260.0,304.515625,330.0,option:1,0,to
18,304.515625,260.0,357.609375,330.0,option:1,0,find
19,357.609375,260.0,402.5,330.0,option:1,0,the
20,402.5,260.0,497.0390625,330.0,option:1,0,woman
21,497.0390625,260.0,525.234375,330.0,option:1,0,in
22,525.234375,260.0,570.5234375,330.0,option:1,0,the
23,570.5234375,260.0,668.375,330.0,option:1,0,hoodie.
24,93.21875,330.0,146.7421875,400.0,option:2,0,She
25,146.7421875,330.0,195.8203125,400.0,option:2,0,lost
26,195.8203125,330.0,242.1953125,400.0,option:2,0,her
27,242.1953125,330.0,285.4375,400.0,option:2,0,job
28,285.4375,330.0,337.0078125,400.0,option:2,0,and
29,337.0078125,330.0,387.4375,400.0,option:2,0,had
30,387.4375,330.0,441.265625,400.0,option:2,0,free
31,441.265625,330.0,510.65625,400.0,option:2,0,time.
32,93.21875,400.0,146.34375,470.0,option:3,0,She
33,146.34375,400.0,240.671875,470.0,option:3,0,wanted
34,240.671875,400.0,271.328125,470.0,option:3,0,to
35,271.328125,400.0,341.484375,470.0,option:3,0,avoid
36,341.484375,400.0,457.21875,470.0,option:3,0,someone
37,457.21875,400.0,505.3125,470.0,option:3,0,she
38,505.3125,400.0,575.6875,470.0,option:3,0,owed
39,575.6875,400.0,662.3125,470.0,option:3,0,money
40,662.3125,400.0,702.90625,470.0,option:3,0,to.
