index,left,top,right,bottom,section,line,content
1687,50.25,76.5,73.25,94.5,,0,W
1688,73.703125,75.5,79.703125,94.5,,0,i
1689,79.734375,77.5,88.734375,94.5,,0,t
1690,89.1875,75.5,104.1875,94.5,,0,h
1691,103.6875,94.5,110.6875,94.5,,0, 
1692,110.71875,80.5,124.71875,94.5,,0,a
1693,124.21875,94.5,131.21875,94.5,,0, 
1694,131.1875,80.5,143.1875,94.5,,0,s
1695,143.28125,80.5,157.28125,94.5,,0,e
1696,157.734375,80.5,172.734375,94.5,,0,n
1697,172.703125,80.5,184.703125,94.5,,0,s
1698,184.796875,80.5,198.796875,94.5,,0,e
1699,198.296875,94.5,205.296875,94.5,,0, 
1700,205.421875,80.5,220.421875,94.5,,0,o
1701,219.015625,75.5,229.015625,94.5,,0,f
1702,228.515625,94.5,235.515625,94.5,,0, 
1703,235.890625,75.5,250.890625,94.5,,0,d
1704,250.984375,80.5,264.984375,94.5,,0,e
1705,265.015625,77.5,274.015625,94.5,,0,t
1706,274.109375,80.5,288.109375,94.5,,0,e
1707,288.4375,80.5,298.4375,94.5,,0,r
1708,298.8125,80.5,321.8125,94.5,,0,m
1709,322.265625,75.5,328.265625,94.5,,0,i
1710,328.71875,80.5,343.71875,94.5,,0,n
1711,343.75,80.5,357.75,94.5,,0,a
1712,357.78125,77.5,366.78125,94.5,,0,t
1713,367.234375,75.5,373.234375,94.5,,0,i
1714,373.359375,80.5,388.359375,94.5,,0,o
1715,388.8125,80.5,403.8125,94.5,,0,n
1716,403.515625,91.5,410.515625,97.5,,0,","
1717,410.015625,94.5,417.015625,94.5,,0, 
1718,416.921875,76.5,430.921875,94.5,,0,E
1719,431.296875,80.5,454.296875,94.5,,0,m
1720,454.75,75.5,460.75,94.5,,0,i
1721,461.203125,75.5,467.203125,94.5,,0,l
1722,466.953125,80.5,479.953125,100.5,,0,y
1723,479.453125,94.5,486.453125,94.5,,0, 
1724,486.421875,80.5,498.421875,94.5,,0,s
1725,498.453125,77.5,507.453125,94.5,,0,t
1726,507.484375,80.5,521.484375,94.5,,0,a
1727,521.8125,80.5,531.8125,94.5,,0,r
1728,531.84375,77.5,540.84375,94.5,,0,t
1729,540.9375,80.5,554.9375,94.5,,0,e
1730,555.3125,75.5,570.3125,94.5,,0,d
1731,569.8125,94.5,576.8125,94.5,,0, 
1732,576.84375,77.5,585.84375,94.5,,0,t
1733,585.96875,80.5,600.96875,94.5,,0,o
1734,600.46875,94.5,607.46875,94.5,,0, 
1735,607.84375,75.5,622.84375,94.5,,0,d
1736,623.296875,75.5,629.296875,94.5,,0,i
1737,629.671875,80.5,644.671875,100.5,,0,g
1738,644.171875,94.5,651.171875,94.5,,0, 
1739,651.625,75.5,657.625,94.5,,0,i
1740,658.078125,80.5,673.078125,94.5,,0,n
1741,673.109375,77.5,682.109375,94.5,,0,t
1742,682.234375,80.5,697.234375,94.5,,0,o
1743,696.734375,94.5,703.734375,94.5,,0, 
1744,704.1875,75.5,719.1875,94.5,,0,h
1745,719.28125,80.5,733.28125,94.5,,0,e
1746,733.609375,80.5,743.609375,94.5,,0,r
1747,743.109375,94.5,750.109375,94.5,,0, 
1748,750.484375,80.5,765.484375,100.5,,0,p
1749,765.515625,80.5,779.515625,94.5,,0,a
1750,779.484375,80.5,791.484375,94.5,,0,s
1751,791.515625,77.5,800.515625,94.5,,0,t
1752,800.21875,91.5,807.21875,97.5,,0,","
1753,806.71875,94.5,813.71875,94.5,,0, 
1754,813.6875,80.5,825.6875,94.5,,0,s
1755,825.78125,80.5,839.78125,94.5,,0,e
1756,839.8125,80.5,853.8125,94.5,,0,a
1757,854.140625,80.5,864.140625,94.5,,0,r
1758,863.640625,80.5,875.640625,94.5,,0,c
1759,876.09375,75.5,891.09375,94.5,,0,h
1760,891.546875,75.5,897.546875,94.5,,0,i
1761,898.0,80.5,913.0,94.5,,0,n
1762,913.375,80.5,928.375,100.5,,0,g
1763,927.875,94.5,934.875,94.5,,0, 
1764,933.46875,75.5,943.46875,94.5,,0,f
1765,943.59375,80.5,958.59375,94.5,,0,o
1766,958.921875,80.5,968.921875,94.5,,0,r
1767,968.421875,94.5,975.421875,94.5,,0, 
1768,975.453125,80.5,989.453125,94.5,,0,a
1769,989.90625,80.5,1004.90625,94.5,,0,n
1770,1004.65625,80.5,1017.65625,100.5,,0,y
1771,50.0,150.5,62.0,164.5,,1,c
1772,62.453125,145.5,68.453125,164.5,,1,l
1773,68.90625,150.5,83.90625,164.5,,1,u
1774,84.0,150.5,98.0,164.5,,1,e
1775,97.96875,150.5,109.96875,164.5,,1,s
1776,109.46875,164.5,116.46875,164.5,,1, 
1777,116.5,147.5,125.5,164.5,,1,t
1778,125.953125,145.5,140.953125,164.5,,1,h
1779,140.984375,150.5,154.984375,164.5,,1,a
1780,155.015625,147.5,164.015625,164.5,,1,t
1781,163.515625,164.5,170.515625,164.5,,1, 
1782,170.890625,150.5,193.890625,164.5,,1,m
1783,194.34375,145.5,200.34375,164.5,,1,i
1784,200.71875,150.5,215.71875,170.5,,1,g
1785,216.171875,145.5,231.171875,164.5,,1,h
1786,231.203125,147.5,240.203125,164.5,,1,t
1787,239.703125,164.5,246.703125,164.5,,1, 
1788,247.15625,145.5,253.15625,164.5,,1,l
1789,253.25,150.5,267.25,164.5,,1,e
1790,267.28125,150.5,281.28125,164.5,,1,a
1791,281.65625,145.5,296.65625,164.5,,1,d
1792,296.15625,164.5,303.15625,164.5,,1, 
1793,303.609375,145.5,318.609375,164.5,,1,h
1794,318.703125,150.5,332.703125,164.5,,1,e
1795,333.03125,150.5,343.03125,164.5,,1,r
1796,342.53125,164.5,349.53125,164.5,,1, 
1797,349.5625,147.5,358.5625,164.5,,1,t
1798,358.6875,150.5,373.6875,164.5,,1,o
1799,373.1875,164.5,380.1875,164.5,,1, 
1800,380.21875,147.5,389.21875,164.5,,1,t
1801,389.671875,145.5,404.671875,164.5,,1,h
1802,404.765625,150.5,418.765625,164.5,,1,e
1803,418.265625,164.5,425.265625,164.5,,1, 
1804,425.640625,150.5,440.640625,170.5,,1,p
1805,440.734375,150.5,454.734375,164.5,,1,e
1806,455.0625,150.5,465.0625,164.5,,1,r
1807,465.03125,150.5,477.03125,164.5,,1,s
1808,477.15625,150.5,492.15625,164.5,,1,o
1809,492.609375,150.5,507.609375,164.5,,1,n
1810,507.109375,164.5,514.109375,164.5,,1, 
1811,513.765625,150.5,533.765625,164.5,,1,w
1812,534.21875,145.5,549.21875,164.5,,1,h
1813,549.34375,150.5,564.34375,164.5,,1,o
1814,563.84375,164.5,570.84375,164.5,,1, 
1815,571.296875,145.5,577.296875,164.5,,1,l
1816,577.390625,150.5,591.390625,164.5,,1,e
1817,589.984375,145.5,599.984375,164.5,,1,f
1818,600.015625,147.5,609.015625,164.5,,1,t
1819,608.515625,164.5,615.515625,164.5,,1, 
1820,615.546875,147.5,624.546875,164.5,,1,t
1821,625.0,145.5,640.0,164.5,,1,h
1822,640.09375,150.5,654.09375,164.5,,1,e
1823,653.59375,164.5,660.59375,164.5,,1, 
1824,660.96875,150.5,683.96875,164.5,,1,m
1825,684.0625,150.5,698.0625,164.5,,1,e
1826,698.03125,150.5,710.03125,164.5,,1,s
1827,710.0,150.5,722.0,164.5,,1,s
1828,722.03125,150.5,736.03125,164.5,,1,a
1829,736.40625,150.5,751.40625,170.5,,1,g
1830,751.5,150.5,765.5,164.5,,1,e
1831,765.203125,161.5,772.203125,164.5,,1,.
1832,771.703125,164.5,778.703125,164.5,,1, 
1833,779.171875,146.5,787.171875,164.5,,1,I
1834,787.203125,147.5,796.203125,164.5,,1,t
1835,795.703125,164.5,802.703125,164.5,,1, 
1836,802.359375,150.5,822.359375,164.5,,1,w
1837,822.390625,150.5,836.390625,164.5,,1,a
1838,836.359375,150.5,848.359375,164.5,,1,s
1839,847.859375,164.5,854.859375,164.5,,1, 
1840,854.890625,150.5,868.890625,164.5,,1,a
1841,868.390625,164.5,875.390625,164.5,,1, 
1842,875.84375,145.5,881.84375,170.5,,1,j
1843,881.96875,150.5,896.96875,164.5,,1,o
1844,897.421875,150.5,912.421875,164.5,,1,u
1845,912.75,150.5,922.75,164.5,,1,r
1846,923.203125,150.5,938.203125,164.5,,1,n
1847,938.296875,150.5,952.296875,164.5,,1,e
1848,951.546875,150.5,964.546875,170.5,,1,y
1849,964.046875,164.5,971.046875,164.5,,1, 
1850,971.078125,147.5,980.078125,164.5,,1,t
1851,980.53125,145.5,995.53125,164.5,,1,h
1852,995.5625,150.5,1009.5625,164.5,,1,a
1853,1009.59375,147.5,1018.59375,164.5,,1,t
1854,49.65625,220.5,69.65625,234.5,,2,w
1855,69.78125,220.5,84.78125,234.5,,2,o
1856,85.234375,220.5,100.234375,234.5,,2,u
1857,100.6875,215.5,106.6875,234.5,,2,l
1858,107.0625,215.5,122.0625,234.5,,2,d
1859,121.5625,234.5,128.5625,234.5,,2, 
1860,128.59375,217.5,137.59375,234.5,,2,t
1861,137.625,220.5,151.625,234.5,,2,a
1862,150.96875,215.5,164.96875,234.5,,2,k
1863,165.0625,220.5,179.0625,234.5,,2,e
1864,178.5625,234.5,185.5625,234.5,,2, 
1865,186.015625,215.5,201.015625,234.5,,2,h
1866,201.109375,220.5,215.109375,234.5,,2,e
1867,215.4375,220.5,225.4375,234.5,,2,r
1868,224.9375,234.5,231.9375,234.5,,2, 
1869,232.3125,215.5,247.3125,234.5,,2,d
1870,247.4375,220.5,262.4375,234.5,,2,o
1871,261.59375,220.5,281.59375,234.5,,2,w
1872,282.046875,220.5,297.046875,234.5,,2,n
1873,296.546875,234.5,303.546875,234.5,,2, 
1874,303.578125,220.5,317.578125,234.5,,2,a
1875,317.078125,234.5,324.078125,234.5,,2, 
1876,324.40625,220.5,334.40625,234.5,,2,r
1877,333.9375,220.5,347.9375,234.5,,2,a
1878,348.3125,215.5,363.3125,234.5,,2,b
1879,363.6875,215.5,378.6875,234.5,,2,b
1880,379.140625,215.5,385.140625,234.5,,2,i
1881,385.171875,217.5,394.171875,234.5,,2,t
1882,393.671875,234.5,400.671875,234.5,,2, 
1883,401.125,215.5,416.125,234.5,,2,h
1884,416.25,220.5,431.25,234.5,,2,o
1885,431.703125,215.5,437.703125,234.5,,2,l
1886,437.796875,220.5,451.796875,234.5,,2,e
1887,451.296875,234.5,458.296875,234.5,,2, 
1888,458.421875,220.5,473.421875,234.5,,2,o
1889,472.015625,215.5,482.015625,234.5,,2,f
1890,481.515625,234.5,488.515625,234.5,,2, 
1891,488.484375,220.5,500.484375,234.5,,2,s
1892,500.578125,220.5,514.578125,234.5,,2,e
1893,514.578125,220.5,526.578125,234.5,,2,c
1894,526.90625,220.5,536.90625,234.5,,2,r
1895,536.5,220.5,550.5,234.5,,2,e
1896,550.53125,217.5,559.53125,234.5,,2,t
1897,559.5,220.5,571.5,234.5,,2,s
1898,571.0,234.5,578.0,234.5,,2, 
1899,578.03125,220.5,592.03125,234.5,,2,a
1900,592.484375,220.5,607.484375,234.5,,2,n
1901,607.859375,215.5,622.859375,234.5,,2,d
1902,622.359375,234.5,629.359375,234.5,,2, 
1903,629.8125,215.5,635.8125,234.5,,2,l
1904,636.265625,215.5,642.265625,234.5,,2,i
1905,642.359375,220.5,656.359375,234.5,,2,e
1906,656.328125,220.5,668.328125,234.5,,2,s
1907,668.03125,231.5,675.03125,237.5,,2,","
1908,674.53125,234.5,681.53125,234.5,,2, 
1909,681.90625,215.5,696.90625,234.5,,2,b
1910,697.359375,220.5,712.359375,234.5,,2,u
1911,712.390625,217.5,721.390625,234.5,,2,t
1912,720.890625,234.5,727.890625,234.5,,2, 
1913,727.859375,220.5,739.859375,234.5,,2,s
1914,740.3125,215.5,755.3125,234.5,,2,h
1915,755.40625,220.5,769.40625,234.5,,2,e
1916,768.90625,234.5,775.90625,234.5,,2, 
1917,775.5625,220.5,795.5625,234.5,,2,w
1918,795.59375,220.5,809.59375,234.5,,2,a
1919,809.5625,220.5,821.5625,234.5,,2,s
1920,821.0625,234.5,828.0625,234.5,,2, 
1921,828.4375,215.5,843.4375,234.5,,2,d
1922,843.53125,220.5,857.53125,234.5,,2,e
1923,857.5625,217.5,866.5625,234.5,,2,t
1924,866.65625,220.5,880.65625,234.5,,2,e
1925,880.984375,220.5,890.984375,234.5,,2,r
1926,891.359375,220.5,914.359375,234.5,,2,m
1927,914.8125,215.5,920.8125,234.5,,2,i
1928,921.265625,220.5,936.265625,234.5,,2,n
1929,936.359375,220.5,950.359375,234.5,,2,e
1930,950.734375,215.5,965.734375,234.5,,2,d
1931,965.234375,234.5,972.234375,234.5,,2, 
1932,972.265625,217.5,981.265625,234.5,,2,t
1933,981.390625,220.5,996.390625,234.5,,2,o
1934,50.453125,290.5,65.453125,304.5,,3,u
1935,65.90625,290.5,80.90625,304.5,,3,n
1936,80.90625,290.5,92.90625,304.5,,3,c
1937,93.03125,290.5,108.03125,304.5,,3,o
1938,107.234375,290.5,120.234375,304.5,,3,v
1939,120.328125,290.5,134.328125,304.5,,3,e
1940,134.65625,290.5,144.65625,304.5,,3,r
1941,144.15625,304.5,151.15625,304.5,,3, 
1942,151.1875,287.5,160.1875,304.5,,3,t
1943,160.640625,285.5,175.640625,304.5,,3,h
1944,175.734375,290.5,189.734375,304.5,,3,e
1945,189.234375,304.5,196.234375,304.5,,3, 
1946,196.265625,287.5,205.265625,304.5,,3,t
1947,205.59375,290.5,215.59375,304.5,,3,r
1948,216.046875,290.5,231.046875,304.5,,3,u
1949,231.078125,287.5,240.078125,304.5,,3,t
1950,240.53125,285.5,255.53125,304.5,,3,h
1951,255.234375,301.5,262.234375,304.5,,3,.
1952,49.96875,426.5,65.96875,444.5,,5,A
1953,65.9375,430.5,77.9375,444.5,,5,s
1954,77.4375,444.5,84.4375,444.5,,5, 
1955,84.40625,430.5,96.40625,444.5,,5,s
1956,96.859375,425.5,111.859375,444.5,,5,h
1957,111.953125,430.5,125.953125,444.5,,5,e
1958,125.453125,444.5,132.453125,444.5,,5, 
1959,132.828125,425.5,147.828125,444.5,,5,d
1960,147.921875,430.5,161.921875,444.5,,5,e
1961,162.375,425.5,168.375,444.5,,5,l
1962,168.078125,430.5,181.078125,444.5,,5,v
1963,181.171875,430.5,195.171875,444.5,,5,e
1964,195.546875,425.5,210.546875,444.5,,5,d
1965,210.046875,444.5,217.046875,444.5,,5, 
1966,217.421875,425.5,232.421875,444.5,,5,d
1967,232.515625,430.5,246.515625,444.5,,5,e
1968,246.609375,430.5,260.609375,444.5,,5,e
1969,260.984375,430.5,275.984375,450.5,,5,p
1970,276.078125,430.5,290.078125,444.5,,5,e
1971,290.40625,430.5,300.40625,444.5,,5,r
1972,299.90625,444.5,306.90625,444.5,,5, 
1973,307.359375,425.5,313.359375,444.5,,5,i
1974,313.8125,430.5,328.8125,444.5,,5,n
1975,328.84375,427.5,337.84375,444.5,,5,t
1976,337.96875,430.5,352.96875,444.5,,5,o
1977,352.46875,444.5,359.46875,444.5,,5, 
1978,359.5,427.5,368.5,444.5,,5,t
1979,368.953125,425.5,383.953125,444.5,,5,h
1980,384.046875,430.5,398.046875,444.5,,5,e
1981,397.546875,444.5,404.546875,444.5,,5, 
1982,404.921875,430.5,427.921875,444.5,,5,m
1983,427.671875,430.5,440.671875,450.5,,5,y
1984,440.640625,430.5,452.640625,444.5,,5,s
1985,452.671875,427.5,461.671875,444.5,,5,t
1986,461.765625,430.5,475.765625,444.5,,5,e
1987,476.09375,430.5,486.09375,444.5,,5,r
1988,485.84375,430.5,498.84375,450.5,,5,y
1989,497.546875,441.5,504.546875,447.5,,5,","
1990,504.046875,444.5,511.046875,444.5,,5, 
1991,510.953125,426.5,524.953125,444.5,,5,E
1992,525.328125,430.5,548.328125,444.5,,5,m
