index,left,top,right,bottom,section,line,content
333,43.75,50,107.453125,120.0,,0,With
334,107.453125,50,127.953125,120.0,,0,a
335,127.953125,50,202.109375,120.0,,0,sense
336,202.109375,50,232.453125,120.0,,0,of
337,232.453125,50,413.71875,120.0,,0,"determination,"
338,413.71875,50,483.1875,120.0,,0,Emily
339,483.1875,50,573.578125,120.0,,0,started
340,573.578125,50,604.40625,120.0,,0,to
341,604.40625,50,648.1484375,120.0,,0,dig
342,648.1484375,50,700.7109375,120.0,,0,into
343,700.7109375,50,747.046875,120.0,,0,her
344,747.046875,50,810.453125,120.0,,0,"past,"
345,810.453125,50,930.921875,120.0,,0,searching
346,930.921875,50,972.1875,120.0,,0,for
347,972.1875,50,1024.15625,120.0,,0,any
348,43.5,120.0,113.234375,190.0,,1,clues
349,113.234375,120.0,167.453125,190.0,,1,that
350,167.453125,120.0,243.6796875,190.0,,1,might
351,243.6796875,120.0,300.1328125,190.0,,1,lead
352,300.1328125,120.0,346.296875,190.0,,1,her
353,346.296875,120.0,376.953125,190.0,,1,to
354,376.953125,120.0,422.203125,190.0,,1,the
355,422.203125,120.0,510.6875,190.0,,1,person
356,510.6875,120.0,567.8203125,190.0,,1,who
357,567.8203125,120.0,612.28125,190.0,,1,left
358,612.28125,120.0,657.53125,190.0,,1,the
359,657.53125,120.0,775.6875,190.0,,1,message.
360,775.6875,120.0,799.28125,190.0,,1,It
361,799.28125,120.0,851.625,190.0,,1,was
362,851.625,120.0,872.3671875,190.0,,1,a
363,872.3671875,120.0,967.8125,190.0,,1,journey
364,967.8125,120.0,1025.09375,190.0,,1,that
365,43.15625,190.0,125.328125,260.0,,2,would
366,125.328125,190.0,182.5390625,260.0,,2,take
367,182.5390625,190.0,228.875,260.0,,2,her
368,228.875,190.0,300.3125,260.0,,2,down
369,300.3125,190.0,320.9921875,260.0,,2,a
370,320.9921875,190.0,397.6484375,260.0,,2,rabbit
371,397.6484375,190.0,455.109375,260.0,,2,hole
372,455.109375,190.0,485.25,260.0,,2,of
373,485.25,190.0,574.765625,260.0,,2,secrets
374,574.765625,190.0,626.3359375,260.0,,2,and
375,626.3359375,190.0,678.46875,260.0,,2,"lies,"
376,678.46875,190.0,724.625,260.0,,2,but
377,724.625,190.0,772.484375,260.0,,2,she
378,772.484375,190.0,825.0,260.0,,2,was
379,825.0,190.0,969.0,260.0,,2,determined
380,969.0,190.0,1002.890625,260.0,,2,to
381,43.953125,260.0,147.921875,330.0,,3,uncover
382,147.921875,260.0,193.0,330.0,,3,the
383,193.0,260.0,268.734375,330.0,,3,truth.
384,43.46875,400.0,81.171875,470.0,,5,As
385,81.171875,400.0,129.390625,470.0,,5,she
386,129.390625,400.0,213.984375,470.0,,5,delved
387,213.984375,400.0,303.8828125,470.0,,5,deeper
388,303.8828125,400.0,356.234375,470.0,,5,into
389,356.234375,400.0,401.484375,470.0,,5,the
390,401.484375,400.0,507.75,470.0,,5,"mystery,"
391,507.75,400.0,577.234375,470.0,,5,Emily
392,577.234375,400.0,677.984375,470.0,,5,couldn't
393,677.984375,400.0,753.40625,470.0,,5,shake
394,753.40625,400.0,797.765625,470.0,,5,the
395,797.765625,400.0,885.5,470.0,,5,feeling
396,885.5,400.0,939.515625,470.0,,5,that
397,939.515625,400.0,987.375,470.0,,5,she
398,987.375,400.0,1042.953125,470.0,,5,was
399,43.828125,470.0,147.28125,540.0,,6,running
400,147.28125,470.0,193.390625,540.0,,6,out
401,193.390625,470.0,223.5625,540.0,,6,of
402,223.5625,470.0,289.6875,540.0,,6,time.
403,289.6875,470.0,342.984375,540.0,,6,And
404,342.984375,470.0,390.6875,540.0,,6,she
405,390.6875,470.0,459.578125,540.0,,6,knew
406,459.578125,470.0,513.59375,540.0,,6,that
407,513.59375,470.0,561.8515625,540.0,,6,she
408,561.8515625,470.0,613.0,540.0,,6,had
409,613.0,470.0,643.828125,540.0,,6,to
410,643.828125,470.0,688.703125,540.0,,6,get
411,688.703125,470.0,734.578125,540.0,,6,out
412,734.578125,470.0,803.34375,540.0,,6,while
413,803.34375,470.0,851.359375,540.0,,6,she
414,851.359375,470.0,898.234375,540.0,,6,still
415,898.234375,470.0,979.09375,540.0,,6,could.
