index,left,top,right,bottom,section,line,content
0,43.75,50,115.0625,120.0,question,0,What
1,115.0625,50,188.125,120.0,question,0,effect
2,188.125,50,231.65625,120.0,question,0,did
3,231.65625,50,276.90625,120.0,question,0,the
4,276.90625,50,413.6171875,120.0,question,0,mysterious
5,413.6171875,50,531.1796875,120.0,question,0,voicemail
6,531.1796875,50,593.796875,120.0,question,0,have
7,593.796875,50,630.828125,120.0,question,0,on
8,630.828125,50,676.1171875,120.0,question,0,the
9,676.1171875,50,794.640625,120.0,question,0,narrator?
10,93.40625,190.0,159.140625,260.0,option:0,0,They
11,159.140625,190.0,254.1953125,260.0,option:0,0,deleted
12,254.1953125,190.0,276.1796875,260.0,option:0,0,it
13,276.1796875,190.0,436.890625,260.0,option:0,0,immediately.
14,93.40625,260.0,159.140625,330.0,option:1,0,They
15,159.140625,260.0,258.6484375,330.0,option:1,0,became
16,258.6484375,260.0,405.421875,330.0,option:1,0,increasingly
17,405.421875,260.0,527.359375,330.0,option:1,0,paranoid.
18,93.40625,330.0,158.9375,400.0,option:2,0,They
19,158.9375,330.0,246.4296875,400.0,option:2,0,shared
20,246.4296875,330.0,268.015625,400.0,option:2,0,it
21,268.015625,330.0,325.296875,400.0,option:2,0,with
22,325.296875,330.0,386.4375,400.0,option:2,0,their
23,386.4375,330.0,485.859375,400.0,option:2,0,friends.
24,93.40625,400.0,159.1796875,470.0,option:3,0,They
25,159.1796875,400.0,261.9140625,470.0,option:3,0,laughed
26,261.9140625,400.0,283.734375,470.0,option:3,0,it
27,283.734375,400.0,322.515625,470.0,option:3,0,off
28,322.515625,400.0,373.15625,470.0,option:3,0,and
29,373.15625,400.0,453.703125,470.0,option:3,0,forgot
30,453.703125,400.0,529.4296875,470.0,option:3,0,about
31,529.4296875,400.0,561.140625,470.0,option:3,0,it.
