index,left,top,right,bottom,section,line,content
0,49.90625,76.5,63.90625,94.5,,0,T
1,64.359375,75.5,79.359375,94.5,,0,h
2,79.453125,80.5,93.453125,94.5,,0,e
3,92.953125,94.5,99.953125,94.5,,0, 
4,99.921875,76.5,112.921875,94.5,,0,F
5,113.046875,80.5,128.046875,94.5,,0,o
6,128.375,80.5,138.375,94.5,,0,r
7,138.5,80.5,153.5,100.5,,0,g
8,153.625,80.5,168.625,94.5,,0,o
9,168.65625,77.5,177.65625,94.5,,0,t
10,177.6875,77.5,186.6875,94.5,,0,t
11,186.78125,80.5,200.78125,94.5,,0,e
12,201.234375,80.5,216.234375,94.5,,0,n
13,215.734375,94.5,222.734375,94.5,,0, 
14,222.40625,76.5,245.40625,94.5,,0,M
15,245.5,80.5,259.5,94.5,,0,e
16,259.46875,80.5,271.46875,94.5,,0,s
17,271.4375,80.5,283.4375,94.5,,0,s
18,283.46875,80.5,297.46875,94.5,,0,a
19,297.84375,80.5,312.84375,100.5,,0,g
20,312.9375,80.5,326.9375,94.5,,0,e
21,50.46875,216.5,58.46875,234.5,,2,I
22,57.96875,234.5,64.96875,234.5,,2, 
23,64.9375,220.5,76.9375,234.5,,2,s
24,76.96875,217.5,85.96875,234.5,,2,t
25,86.0,220.5,100.0,234.5,,2,a
26,100.328125,220.5,110.328125,234.5,,2,r
27,109.921875,220.5,123.921875,234.5,,2,e
28,124.296875,215.5,139.296875,234.5,,2,d
29,138.796875,234.5,145.796875,234.5,,2, 
30,146.171875,215.5,161.171875,234.5,,2,b
31,161.625,215.5,167.625,234.5,,2,l
32,167.65625,220.5,181.65625,234.5,,2,a
33,182.109375,220.5,197.109375,234.5,,2,n
34,196.453125,215.5,210.453125,234.5,,2,k
35,210.90625,215.5,216.90625,234.5,,2,l
36,216.65625,220.5,229.65625,240.5,,2,y
37,229.15625,234.5,236.15625,234.5,,2, 
38,236.1875,220.5,250.1875,234.5,,2,a
39,250.21875,217.5,259.21875,234.5,,2,t
40,258.71875,234.5,265.71875,234.5,,2, 
41,265.75,217.5,274.75,234.5,,2,t
42,275.203125,215.5,290.203125,234.5,,2,h
43,290.296875,220.5,304.296875,234.5,,2,e
44,303.796875,234.5,310.796875,234.5,,2, 
45,310.765625,220.5,322.765625,234.5,,2,s
46,322.765625,220.5,334.765625,234.5,,2,c
47,335.09375,220.5,345.09375,234.5,,2,r
48,344.6875,220.5,358.6875,234.5,,2,e
49,358.78125,220.5,372.78125,234.5,,2,e
50,373.234375,220.5,388.234375,234.5,,2,n
51,387.9375,231.5,394.9375,237.5,,2,","
52,394.4375,234.5,401.4375,234.5,,2, 
53,401.8125,220.5,424.8125,234.5,,2,m
54,424.5625,220.5,437.5625,240.5,,2,y
55,437.0625,234.5,444.0625,234.5,,2, 
56,444.09375,217.5,453.09375,234.5,,2,t
57,453.546875,215.5,468.546875,234.5,,2,h
58,469.0,220.5,484.0,234.5,,2,u
59,484.375,220.5,507.375,234.5,,2,m
60,507.75,215.5,522.75,234.5,,2,b
61,522.25,234.5,529.25,234.5,,2, 
62,529.703125,215.5,544.703125,234.5,,2,h
63,544.828125,220.5,559.828125,234.5,,2,o
64,559.03125,220.5,572.03125,234.5,,2,v
65,572.125,220.5,586.125,234.5,,2,e
66,586.453125,220.5,596.453125,234.5,,2,r
67,596.90625,215.5,602.90625,234.5,,2,i
68,603.359375,220.5,618.359375,234.5,,2,n
69,618.734375,220.5,633.734375,240.5,,2,g
70,633.234375,234.5,640.234375,234.5,,2, 
71,640.359375,220.5,655.359375,234.5,,2,o
72,654.5625,220.5,667.5625,234.5,,2,v
73,667.65625,220.5,681.65625,234.5,,2,e
74,681.984375,220.5,691.984375,234.5,,2,r
75,691.484375,234.5,698.484375,234.5,,2, 
76,698.515625,217.5,707.515625,234.5,,2,t
77,707.96875,215.5,722.96875,234.5,,2,h
78,723.0625,220.5,737.0625,234.5,,2,e
79,736.5625,234.5,743.5625,234.5,,2, 
80,743.265625,220.5,756.265625,234.5,,2,v
81,756.390625,220.5,771.390625,234.5,,2,o
82,771.84375,215.5,777.84375,234.5,,2,i
83,777.84375,220.5,789.84375,234.5,,2,c
84,789.9375,220.5,803.9375,234.5,,2,e
85,804.3125,220.5,827.3125,234.5,,2,m
86,827.34375,220.5,841.34375,234.5,,2,a
87,841.796875,215.5,847.796875,234.5,,2,i
88,848.25,215.5,854.25,234.5,,2,l
89,853.75,234.5,860.75,234.5,,2, 
90,861.203125,215.5,867.203125,234.5,,2,i
91,867.203125,220.5,879.203125,234.5,,2,c
92,879.328125,220.5,894.328125,234.5,,2,o
93,894.78125,220.5,909.78125,234.5,,2,n
94,909.484375,231.5,916.484375,234.5,,2,.
95,915.984375,234.5,922.984375,234.5,,2, 
96,923.453125,216.5,931.453125,234.5,,2,I
97,930.953125,234.5,937.953125,234.5,,2, 
98,938.40625,215.5,953.40625,234.5,,2,h
99,953.4375,220.5,967.4375,234.5,,2,a
100,967.8125,215.5,982.8125,234.5,,2,d
101,983.265625,220.5,998.265625,234.5,,2,n
102,997.640625,216.5,1003.640625,234.5,,2,'
103,1003.671875,217.5,1012.671875,234.5,,2,t
104,50.0,290.5,62.0,304.5,,3,c
105,62.453125,285.5,77.453125,304.5,,3,h
106,77.546875,290.5,91.546875,304.5,,3,e
107,91.546875,290.5,103.546875,304.5,,3,c
108,102.890625,285.5,116.890625,304.5,,3,k
109,116.984375,290.5,130.984375,304.5,,3,e
110,131.359375,285.5,146.359375,304.5,,3,d
111,145.859375,304.5,152.859375,304.5,,3, 
112,153.234375,290.5,176.234375,304.5,,3,m
113,175.984375,290.5,188.984375,310.5,,3,y
114,188.484375,304.5,195.484375,304.5,,3, 
115,195.859375,290.5,210.859375,310.5,,3,p
116,211.3125,285.5,226.3125,304.5,,3,h
117,226.4375,290.5,241.4375,304.5,,3,o
118,241.890625,290.5,256.890625,304.5,,3,n
119,256.984375,290.5,270.984375,304.5,,3,e
120,270.484375,304.5,277.484375,304.5,,3, 
121,277.9375,285.5,283.9375,304.5,,3,i
122,284.390625,290.5,299.390625,304.5,,3,n
123,298.890625,304.5,305.890625,304.5,,3, 
124,306.34375,285.5,321.34375,304.5,,3,h
125,321.46875,290.5,336.46875,304.5,,3,o
126,336.921875,290.5,351.921875,304.5,,3,u
127,352.25,290.5,362.25,304.5,,3,r
128,362.21875,290.5,374.21875,304.5,,3,s
129,373.921875,301.5,380.921875,307.5,,3,","
130,380.421875,304.5,387.421875,304.5,,3, 
131,387.453125,287.5,396.453125,304.5,,3,t
132,396.578125,290.5,411.578125,304.5,,3,o
133,411.703125,290.5,426.703125,304.5,,3,o
134,426.203125,304.5,433.203125,304.5,,3, 
135,433.296875,290.5,447.296875,304.5,,3,e
136,447.75,290.5,462.75,304.5,,3,n
137,463.125,290.5,478.125,310.5,,3,g
138,478.453125,290.5,488.453125,304.5,,3,r
139,488.078125,290.5,503.078125,304.5,,3,o
140,503.046875,290.5,515.046875,304.5,,3,s
141,515.015625,290.5,527.015625,304.5,,3,s
142,527.109375,290.5,541.109375,304.5,,3,e
143,541.484375,285.5,556.484375,304.5,,3,d
144,555.984375,304.5,562.984375,304.5,,3, 
