index,left,top,right,bottom,section,line,content
183,43.875,50,193.53125,120.0,,0,questioning
184,193.53125,50,263.6796875,120.0,,0,every
185,263.6796875,50,403.65625,120.0,,0,"interaction,"
186,403.65625,50,473.578125,120.0,,0,every
187,473.578125,50,638.40625,120.0,,0,conversation.
188,638.40625,50,764.484375,120.0,,0,Strangers'
189,764.484375,50,845.296875,120.0,,0,smiles
190,845.296875,50,948.0625,120.0,,0,seemed
191,43.953125,120.0,165.765625,190.0,,1,"insincere,"
192,165.765625,120.0,347.078125,190.0,,1,acquaintances'
193,347.078125,120.0,425.9296875,190.0,,1,words
194,425.9296875,120.0,493.984375,190.0,,1,laced
195,493.984375,120.0,551.4765625,190.0,,1,with
196,551.4765625,120.0,639.96875,190.0,,1,hidden
197,639.96875,120.0,753.71875,190.0,,1,agendas.
198,753.71875,120.0,768.4375,190.0,,1,I
199,768.4375,120.0,858.828125,190.0,,1,started
200,858.828125,120.0,889.296875,190.0,,1,to
201,889.296875,120.0,1014.40625,190.0,,1,"withdraw,"
202,43.53125,190.0,154.203125,260.0,,2,avoiding
203,154.203125,190.0,226.9375,260.0,,2,social
204,226.9375,190.0,367.515625,260.0,,2,"gatherings,"
205,367.515625,190.0,485.515625,260.0,,2,canceling
206,485.515625,190.0,565.0625,260.0,,2,plans.
207,43.171875,330.0,87.96875,400.0,,4,My
208,87.96875,330.0,177.453125,400.0,,4,friends
209,177.453125,330.0,228.09375,400.0,,4,and
210,228.09375,330.0,307.140625,400.0,,4,family
211,307.140625,330.0,371.90625,400.0,,4,grew
212,371.90625,330.0,509.015625,400.0,,4,"concerned,"
213,509.015625,330.0,606.484375,400.0,,4,sensing
214,606.484375,330.0,649.1484375,400.0,,4,my
215,649.1484375,330.0,747.3203125,400.0,,4,unease.
216,747.3203125,330.0,843.359375,400.0,,4,"""What's"
217,843.359375,330.0,946.53125,400.0,,4,"wrong?"""
218,946.53125,330.0,1027.59375,400.0,,4,they'd
219,43.53125,400.0,99.484375,470.0,,5,"ask,"
220,99.484375,400.0,145.890625,470.0,,5,but
221,145.890625,400.0,160.625,470.0,,5,I
222,160.625,400.0,261.4375,470.0,,5,couldn't
223,261.4375,400.0,359.40625,470.0,,5,explain.
224,359.40625,400.0,374.140625,470.0,,5,I
225,374.140625,400.0,474.921875,470.0,,5,couldn't
226,474.921875,400.0,592.328125,470.0,,5,articulate
227,592.328125,400.0,637.390625,470.0,,5,the
228,637.390625,400.0,746.546875,470.0,,5,creeping
229,746.546875,400.0,820.703125,470.0,,5,sense
230,820.703125,400.0,851.046875,470.0,,5,of
231,851.046875,400.0,926.078125,470.0,,5,dread
232,926.078125,400.0,980.3359375,470.0,,5,that
233,980.3359375,400.0,1034.71875,470.0,,5,had
234,43.53125,470.0,119.4296875,540.0,,6,taken
235,119.4296875,470.0,188.0625,540.0,,6,hold.
236,43.03125,610.0,102.375,680.0,,8,One
237,102.375,610.0,208.671875,680.0,,8,"evening,"
238,208.671875,610.0,241.390625,680.0,,8,as
239,241.390625,610.0,255.953125,680.0,,8,I
240,255.953125,610.0,345.8046875,680.0,,8,walked
241,345.8046875,610.0,419.421875,680.0,,8,home
242,419.421875,610.0,483.375,680.0,,8,from
243,483.375,610.0,555.4375,680.0,,8,"work,"
244,555.4375,610.0,570.3984375,680.0,,8,I
245,570.3984375,610.0,664.21875,680.0,,8,noticed
246,664.21875,610.0,684.03125,680.0,,8,a
247,684.03125,610.0,760.328125,680.0,,8,figure
248,760.328125,610.0,875.90625,680.0,,8,following
249,875.90625,610.0,926.34375,680.0,,8,me.
250,926.34375,610.0,981.6875,680.0,,8,"Tall,"
251,43.953125,680.0,167.8125,750.0,,9,"indistinct,"
252,167.8125,680.0,214.2109375,750.0,,9,but
253,214.2109375,680.0,378.03125,750.0,,9,unmistakably
254,378.03125,680.0,498.6953125,750.0,,9,watching.
255,498.6953125,680.0,541.0078125,750.0,,9,My
256,541.0078125,680.0,610.3828125,750.0,,9,heart
257,610.3828125,680.0,696.796875,750.0,,9,"racing,"
258,696.796875,680.0,711.71875,750.0,,9,I
259,711.71875,680.0,839.859375,750.0,,9,quickened
260,839.859375,680.0,882.484375,750.0,,9,my
261,882.484375,680.0,951.1875,750.0,,9,"pace,"
262,951.1875,680.0,997.375,750.0,,9,but
263,997.375,680.0,1045.6875,750.0,,9,the
264,42.09375,750.0,122.71875,820.0,,10,figure
265,122.71875,750.0,181.578125,820.0,,10,kept
266,181.578125,750.0,250.109375,820.0,,10,"pace,"
267,250.109375,750.0,335.7109375,820.0,,10,always
268,335.7109375,750.0,425.0703125,820.0,,10,lurking
269,425.0703125,750.0,474.3125,820.0,,10,just
270,474.3125,750.0,520.421875,820.0,,10,out
271,520.421875,750.0,550.5625,820.0,,10,of
272,550.5625,750.0,625.3125,820.0,,10,sight.
