index,left,top,right,bottom,section,line,content
0,43.75,50,114.3125,120.0,question,0,What
1,114.3125,50,167.90625,120.0,question,0,first
2,167.90625,50,257.75,120.0,question,0,alerted
3,257.75,50,327.25,120.0,question,0,Emily
4,327.25,50,381.265625,120.0,question,0,that
5,381.265625,50,513.9375,120.0,question,0,something
6,513.9375,50,566.09375,120.0,question,0,was
7,566.09375,50,662.296875,120.0,question,0,wrong?
8,93.46875,190.0,119.203125,260.0,option:0,0,A
9,119.203125,190.0,247.296875,260.0,option:0,0,scratching
10,247.296875,190.0,327.203125,260.0,option:0,0,sound
11,327.203125,190.0,356.9765625,260.0,option:0,0,at
12,356.9765625,190.0,402.953125,260.0,option:0,0,her
13,402.953125,190.0,504.09375,260.0,option:0,0,window
14,93.46875,260.0,119.0703125,330.0,option:1,0,A
15,119.0703125,260.0,235.703125,330.0,option:1,0,voicemail
16,235.703125,260.0,299.84375,330.0,option:1,0,from
17,299.84375,260.0,336.0390625,330.0,option:1,0,an
18,336.0390625,260.0,451.9765625,330.0,option:1,0,unknown
19,451.9765625,260.0,555.578125,330.0,option:1,0,number
20,93.46875,330.0,119.234375,400.0,option:2,0,A
21,119.234375,330.0,170.78125,400.0,option:2,0,text
22,170.78125,330.0,281.828125,400.0,option:2,0,message
23,281.828125,330.0,385.4765625,400.0,option:2,0,warning
24,385.4765625,330.0,434.875,400.0,option:2,0,her
25,93.46875,400.0,119.4453125,470.0,option:3,0,A
26,119.4453125,400.0,179.25,470.0,option:3,0,note
27,179.25,400.0,270.1953125,470.0,option:3,0,written
28,270.1953125,400.0,298.5390625,470.0,option:3,0,in
29,298.5390625,400.0,344.3984375,470.0,option:3,0,red
30,344.3984375,400.0,389.171875,470.0,option:3,0,ink
