index,left,top,right,bottom,section,line,content
95,43.15625,50,98.921875,120.0,,0,was
96,98.921875,50,148.5,120.0,,0,this
97,148.5,50,248.125,120.0,,0,person?
98,248.125,50,316.453125,120.0,,0,What
99,316.453125,50,359.984375,120.0,,0,did
100,359.984375,50,417.484375,120.0,,0,they
101,417.484375,50,501.578125,120.0,,0,mean?
102,501.578125,50,554.71875,120.0,,0,And
103,554.71875,50,611.453125,120.0,,0,who
104,611.453125,50,663.78125,120.0,,0,was
105,663.78125,50,757.359375,120.0,,0,coming
106,757.359375,50,798.8359375,120.0,,0,for
107,798.8359375,50,859.078125,120.0,,0,her?
108,43.21875,190.0,96.53125,260.0,,2,She
109,96.53125,190.0,158.3125,260.0,,2,tried
110,158.3125,190.0,188.9375,260.0,,2,to
111,188.9375,190.0,264.40625,260.0,,2,shake
112,264.40625,190.0,303.1875,260.0,,2,off
113,303.1875,190.0,347.546875,260.0,,2,the
114,347.546875,190.0,435.328125,260.0,,2,feeling
115,435.328125,190.0,465.7109375,260.0,,2,of
116,465.7109375,190.0,563.796875,260.0,,2,"unease,"
117,563.796875,190.0,643.8203125,260.0,,2,telling
118,643.8203125,190.0,731.3046875,260.0,,2,herself
119,731.3046875,190.0,752.890625,260.0,,2,it
120,752.890625,190.0,805.4453125,260.0,,2,was
121,805.4453125,190.0,854.640625,260.0,,2,just
122,854.640625,190.0,875.34375,260.0,,2,a
123,875.34375,190.0,949.75,260.0,,2,prank
124,949.75,190.0,981.65625,260.0,,2,or
125,981.65625,190.0,1005.421875,260.0,,2,a
126,43.15625,260.0,128.9140625,330.0,,3,wrong
127,128.9140625,260.0,232.09375,330.0,,3,number.
128,232.09375,260.0,279.21875,330.0,,3,But
129,279.21875,260.0,324.109375,330.0,,3,the
130,324.109375,260.0,402.9609375,330.0,,3,words
131,402.9609375,260.0,506.5859375,330.0,,3,lingered
132,506.5859375,260.0,534.9921875,330.0,,3,in
133,534.9921875,260.0,581.328125,330.0,,3,her
134,581.328125,260.0,655.046875,330.0,,3,"mind,"
135,655.046875,260.0,755.6796875,330.0,,3,echoing
136,755.6796875,260.0,784.0859375,330.0,,3,in
137,784.0859375,260.0,830.25,330.0,,3,her
138,830.25,260.0,943.8515625,330.0,,3,thoughts
139,943.8515625,260.0,990.484375,330.0,,3,like
140,990.484375,260.0,1014.25,330.0,,3,a
141,43.875,330.0,148.953125,400.0,,4,mantra.
142,43.46875,470.0,81.171875,540.0,,6,As
143,81.171875,470.0,129.03125,540.0,,6,she
144,129.03125,470.0,193.953125,540.0,,6,went
145,193.953125,470.0,269.6796875,540.0,,6,about
146,269.6796875,470.0,316.015625,540.0,,6,her
147,316.015625,470.0,370.140625,540.0,,6,"day,"
148,370.140625,470.0,439.625,540.0,,6,Emily
149,439.625,470.0,540.375,540.0,,6,couldn't
150,540.375,470.0,615.796875,540.0,,6,shake
151,615.796875,470.0,660.15625,540.0,,6,the
152,660.15625,470.0,747.9375,540.0,,6,feeling
153,747.9375,470.0,778.28125,540.0,,6,of
154,778.28125,470.0,851.171875,540.0,,6,being
155,851.171875,470.0,964.046875,540.0,,6,watched.
156,964.046875,470.0,1017.203125,540.0,,6,She
157,43.875,540.0,146.09375,610.0,,7,glanced
158,146.09375,540.0,204.5078125,610.0,,7,over
159,204.5078125,540.0,250.640625,610.0,,7,her
160,250.640625,540.0,364.15625,610.0,,7,"shoulder,"
161,364.15625,540.0,485.21875,610.0,,7,expecting
162,485.21875,540.0,515.84375,610.0,,7,to
163,515.84375,540.0,562.5,610.0,,7,see
164,562.5,540.0,678.4765625,610.0,,7,someone
165,678.4765625,540.0,767.8359375,610.0,,7,lurking
166,767.8359375,540.0,796.03125,610.0,,7,in
167,796.03125,540.0,841.078125,610.0,,7,the
168,841.078125,540.0,957.5625,610.0,,7,"shadows,"
169,957.5625,540.0,1006.984375,610.0,,7,but
170,43.53125,610.0,115.578125,680.0,,8,there
171,115.578125,610.0,168.1328125,680.0,,8,was
172,168.1328125,610.0,240.59375,680.0,,8,never
173,240.59375,610.0,334.0,680.0,,8,anyone
174,334.0,610.0,409.546875,680.0,,8,there.
175,409.546875,610.0,459.46875,680.0,,8,She
176,459.46875,610.0,521.25,680.0,,8,tried
177,521.25,610.0,551.1875,680.0,,8,to
178,551.1875,610.0,621.59375,680.0,,8,focus
179,621.59375,610.0,658.8359375,680.0,,8,on
180,658.8359375,610.0,704.8125,680.0,,8,her
181,704.8125,610.0,776.828125,680.0,,8,"work,"
182,776.828125,610.0,823.2265625,680.0,,8,but
183,823.2265625,610.0,869.5625,680.0,,8,her
184,869.5625,610.0,936.203125,680.0,,8,mind
185,936.203125,610.0,998.125,680.0,,8,kept
186,43.15625,680.0,179.65625,750.0,,9,wandering
187,179.65625,680.0,240.734375,750.0,,9,back
188,240.734375,680.0,271.390625,750.0,,9,to
189,271.390625,680.0,316.640625,750.0,,9,the
190,316.640625,680.0,453.6875,750.0,,9,mysterious
191,453.6875,680.0,574.859375,750.0,,9,message.
