index,left,top,right,bottom,section,line,content
1667,50.46875,76.5,58.46875,94.5,,0,I
1668,58.5,77.5,67.5,94.5,,0,t
1669,67.0,94.5,74.0,94.5,,0, 
1670,73.65625,80.5,93.65625,94.5,,0,w
1671,93.6875,80.5,107.6875,94.5,,0,a
1672,107.65625,80.5,119.65625,94.5,,0,s
1673,119.15625,94.5,126.15625,94.5,,0, 
1674,126.1875,80.5,140.1875,94.5,,0,a
1675,139.6875,94.5,146.6875,94.5,,0, 
1676,146.65625,80.5,158.65625,94.5,,0,s
1677,158.78125,80.5,173.78125,94.5,,0,o
1678,172.375,75.5,182.375,94.5,,0,f
1679,182.40625,77.5,191.40625,94.5,,0,t
1680,190.90625,94.5,197.90625,94.5,,0, 
1681,197.875,80.5,209.875,94.5,,0,s
1682,209.875,80.5,221.875,94.5,,0,c
1683,222.203125,80.5,232.203125,94.5,,0,r
1684,231.734375,80.5,245.734375,94.5,,0,a
1685,245.765625,77.5,254.765625,94.5,,0,t
1686,254.765625,80.5,266.765625,94.5,,0,c
1687,267.21875,75.5,282.21875,94.5,,0,h
1688,282.671875,75.5,288.671875,94.5,,0,i
1689,289.125,80.5,304.125,94.5,,0,n
1690,304.5,80.5,319.5,100.5,,0,g
1691,319.0,94.5,326.0,94.5,,0, 
1692,325.96875,80.5,337.96875,94.5,,0,s
1693,338.09375,80.5,353.09375,94.5,,0,o
1694,353.546875,80.5,368.546875,94.5,,0,u
1695,369.0,80.5,384.0,94.5,,0,n
1696,384.375,75.5,399.375,94.5,,0,d
1697,399.078125,91.5,406.078125,97.5,,0,","
1698,405.578125,94.5,412.578125,94.5,,0, 
1699,413.03125,75.5,419.03125,94.5,,0,l
1700,419.484375,75.5,425.484375,94.5,,0,i
1701,424.828125,75.5,438.828125,94.5,,0,k
1702,438.921875,80.5,452.921875,94.5,,0,e
1703,452.421875,94.5,459.421875,94.5,,0, 
1704,458.015625,75.5,468.015625,94.5,,0,f
1705,468.46875,75.5,474.46875,94.5,,0,i
1706,474.921875,80.5,489.921875,94.5,,0,n
1707,490.296875,80.5,505.296875,100.5,,0,g
1708,505.390625,80.5,519.390625,94.5,,0,e
1709,519.71875,80.5,529.71875,94.5,,0,r
1710,530.171875,80.5,545.171875,94.5,,0,n
1711,545.203125,80.5,559.203125,94.5,,0,a
1712,559.65625,75.5,565.65625,94.5,,0,i
1713,566.109375,75.5,572.109375,94.5,,0,l
1714,572.078125,80.5,584.078125,94.5,,0,s
1715,583.578125,94.5,590.578125,94.5,,0, 
1716,590.703125,80.5,605.703125,94.5,,0,o
1717,606.15625,80.5,621.15625,94.5,,0,n
1718,620.65625,94.5,627.65625,94.5,,0, 
1719,628.03125,80.5,643.03125,100.5,,0,g
1720,643.484375,75.5,649.484375,94.5,,0,l
1721,649.515625,80.5,663.515625,94.5,,0,a
1722,663.484375,80.5,675.484375,94.5,,0,s
1723,675.453125,80.5,687.453125,94.5,,0,s
1724,687.15625,91.5,694.15625,94.5,,0,.
1725,693.65625,94.5,700.65625,94.5,,0, 
1726,700.5625,76.5,714.5625,94.5,,0,E
1727,714.9375,80.5,737.9375,94.5,,0,m
1728,738.390625,75.5,744.390625,94.5,,0,i
1729,744.84375,75.5,750.84375,94.5,,0,l
1730,750.59375,80.5,763.59375,100.5,,0,y
1731,764.21875,76.5,770.21875,94.5,,0,'
1732,769.4375,80.5,781.4375,94.5,,0,s
1733,780.9375,94.5,787.9375,94.5,,0, 
1734,788.390625,75.5,803.390625,94.5,,0,h
1735,803.484375,80.5,817.484375,94.5,,0,e
1736,817.515625,80.5,831.515625,94.5,,0,a
1737,831.84375,80.5,841.84375,94.5,,0,r
1738,841.875,77.5,850.875,94.5,,0,t
1739,850.375,94.5,857.375,94.5,,0, 
1740,857.34375,80.5,869.34375,94.5,,0,s
1741,868.6875,75.5,882.6875,94.5,,0,k
1742,883.140625,75.5,889.140625,94.5,,0,i
1743,889.515625,80.5,904.515625,100.5,,0,p
1744,904.890625,80.5,919.890625,100.5,,0,p
1745,919.984375,80.5,933.984375,94.5,,0,e
1746,934.359375,75.5,949.359375,94.5,,0,d
1747,948.859375,94.5,955.859375,94.5,,0, 
1748,955.890625,80.5,969.890625,94.5,,0,a
1749,969.390625,94.5,976.390625,94.5,,0, 
1750,976.765625,75.5,991.765625,94.5,,0,b
1751,991.859375,80.5,1005.859375,94.5,,0,e
1752,1005.890625,80.5,1019.890625,94.5,,0,a
1753,1019.921875,77.5,1028.921875,94.5,,0,t
1754,50.03125,150.5,64.03125,164.5,,1,a
1755,64.0,150.5,76.0,164.5,,1,s
1756,75.5,164.5,82.5,164.5,,1, 
1757,82.46875,150.5,94.46875,164.5,,1,s
1758,94.921875,145.5,109.921875,164.5,,1,h
1759,110.015625,150.5,124.015625,164.5,,1,e
1760,123.515625,164.5,130.515625,164.5,,1, 
1761,130.546875,147.5,139.546875,164.5,,1,t
1762,140.0,145.5,155.0,164.5,,1,h
1763,155.328125,150.5,165.328125,164.5,,1,r
1764,164.921875,150.5,178.921875,164.5,,1,e
1765,178.078125,150.5,198.078125,164.5,,1,w
1766,197.578125,164.5,204.578125,164.5,,1, 
1767,204.703125,150.5,219.703125,164.5,,1,o
1768,218.296875,145.5,228.296875,164.5,,1,f
1769,226.90625,145.5,236.90625,164.5,,1,f
1770,236.40625,164.5,243.40625,164.5,,1, 
1771,243.4375,147.5,252.4375,164.5,,1,t
1772,252.890625,145.5,267.890625,164.5,,1,h
1773,267.984375,150.5,281.984375,164.5,,1,e
1774,281.484375,164.5,288.484375,164.5,,1, 
1775,288.484375,150.5,300.484375,164.5,,1,c
1776,300.609375,150.5,315.609375,164.5,,1,o
1777,314.8125,150.5,327.8125,164.5,,1,v
1778,327.90625,150.5,341.90625,164.5,,1,e
1779,342.234375,150.5,352.234375,164.5,,1,r
1780,352.203125,150.5,364.203125,164.5,,1,s
1781,363.703125,164.5,370.703125,164.5,,1, 
1782,370.734375,150.5,384.734375,164.5,,1,a
1783,385.1875,150.5,400.1875,164.5,,1,n
1784,400.5625,145.5,415.5625,164.5,,1,d
1785,415.0625,164.5,422.0625,164.5,,1, 
1786,422.09375,150.5,436.09375,164.5,,1,a
1787,436.46875,150.5,451.46875,170.5,,1,p
1788,451.84375,150.5,466.84375,170.5,,1,p
1789,467.171875,150.5,477.171875,164.5,,1,r
1790,476.796875,150.5,491.796875,164.5,,1,o
1791,491.828125,150.5,505.828125,164.5,,1,a
1792,505.828125,150.5,517.828125,164.5,,1,c
1793,518.28125,145.5,533.28125,164.5,,1,h
1794,533.375,150.5,547.375,164.5,,1,e
1795,547.75,145.5,562.75,164.5,,1,d
1796,562.25,164.5,569.25,164.5,,1, 
1797,569.28125,147.5,578.28125,164.5,,1,t
1798,578.734375,145.5,593.734375,164.5,,1,h
1799,593.828125,150.5,607.828125,164.5,,1,e
1800,607.328125,164.5,614.328125,164.5,,1, 
1801,613.984375,150.5,633.984375,164.5,,1,w
1802,634.4375,145.5,640.4375,164.5,,1,i
1803,640.890625,150.5,655.890625,164.5,,1,n
1804,656.265625,145.5,671.265625,164.5,,1,d
1805,671.390625,150.5,686.390625,164.5,,1,o
1806,685.546875,150.5,705.546875,164.5,,1,w
